,CODUSU,NRO_HOGAR,IDECIFR_x,IDECIFR_y,GDECIFR_x,GDECIFR_y,PDECIFR_x,PDECIFR_y,IDECCFR_x,IDECCFR_y,GDECCFR_x,GDECCFR_y,PDECCFR_x,PDECCFR_y
36978,TQRMNOSSUHMNKMCDEIJAH00802333,1,,,12.0,12.0,,,,,12.0,12.0,,
36979,TQRMNOPQVHLOLNCDEIJAH00780380,1,,,6.0,6.0,,,,,4.0,4.0,,
36980,TQRMNOPQVHLOLNCDEIJAH00780380,1,,,6.0,6.0,,,,,4.0,4.0,,
36981,TQRMNOPQVHLOLNCDEIJAH00780380,1,,,6.0,6.0,,,,,4.0,4.0,,
36982,TQRMNOPQVHLOLNCDEIJAH00780380,1,,,6.0,6.0,,,,,4.0,4.0,,
36983,TQRMNORTTHJNMMCDEIJAH00793897,1,,,4.0,4.0,,,,,6.0,6.0,,
36984,TQRMNORTTHJNMMCDEIJAH00793897,1,,,4.0,4.0,,,,,6.0,6.0,,
36985,TQRMNORPSHLMLOCDEIJAH00719307,2,,,6.0,6.0,,,,,7.0,7.0,,
36986,TQRMNORPSHLMLOCDEIJAH00719307,2,,,6.0,6.0,,,,,7.0,7.0,,
36987,TQRMNOTRVHMMLOCDEIJAH00802334,1,,,6.0,6.0,,,,,10.0,10.0,,
36988,TQRMNOYQXHJLMOCDEIJAH00802335,1,,,5.0,5.0,,,,,3.0,3.0,,
36989,TQRMNOYQXHJLMOCDEIJAH00802335,1,,,5.0,5.0,,,,,3.0,3.0,,
36990,TQRMNOYQXHJLMOCDEIJAH00802335,1,,,5.0,5.0,,,,,3.0,3.0,,
36991,TQRMNOYQXHJLMOCDEIJAH00802335,1,,,5.0,5.0,,,,,3.0,3.0,,
36992,TQRMNOSUYHKKKMCDEIHJF00785242,1,9.0,9.0,,,9.0,9.0,10.0,10.0,,,10.0,10.0
36993,TQRMNOSUYHKKKMCDEIHJF00785242,1,9.0,9.0,,,9.0,9.0,10.0,10.0,,,10.0,10.0
36994,TQRMNORVWHKNKOCDEGNFJ00800184,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
36995,TQRMNORVWHKNKOCDEGNFJ00800184,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
36996,TQRMNOTRRHMOKSCDEGNFJ00800185,1,8.0,8.0,,,8.0,8.0,3.0,3.0,,,3.0,3.0
36997,TQRMNOTRRHMOKSCDEGNFJ00800185,1,8.0,8.0,,,8.0,8.0,3.0,3.0,,,3.0,3.0
36998,TQRMNOTRRHMOKSCDEGNFJ00800185,1,8.0,8.0,,,8.0,8.0,3.0,3.0,,,3.0,3.0
36999,TQRMNOTRRHMOKSCDEGNFJ00800185,1,8.0,8.0,,,8.0,8.0,3.0,3.0,,,3.0,3.0
37000,TQRMNOTRRHMOKSCDEGNFJ00800185,1,8.0,8.0,,,8.0,8.0,3.0,3.0,,,3.0,3.0
37001,TQRMNOTRRHMOKSCDEGNFJ00800185,1,8.0,8.0,,,8.0,8.0,3.0,3.0,,,3.0,3.0
37002,TQRMNOPTXHMLLNCDEGKDB00799892,1,3.0,3.0,,,3.0,3.0,7.0,7.0,,,7.0,7.0
37003,TQRMNOPSTHKKKMCDEOHCH00781547,1,1.0,1.0,,,1.0,1.0,5.0,5.0,,,5.0,5.0
37004,TQRMNOSRRHLLKNCDEFMDB00715184,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37005,TQRMNOSRRHLLKNCDEFMDB00715184,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
37006,TQRMNOSUYHMOKOCDEHJGH00800761,1,3.0,3.0,3.0,3.0,,,2.0,2.0,2.0,2.0,,
37007,TQRMNOSUYHMOKOCDEHJGH00800761,1,3.0,3.0,3.0,3.0,,,2.0,2.0,2.0,2.0,,
37008,TQRMNOSUYHMOKOCDEHJGH00800761,1,3.0,3.0,3.0,3.0,,,2.0,2.0,2.0,2.0,,
37009,TQRMNOSUYHMOKOCDEHJGH00800761,1,3.0,3.0,3.0,3.0,,,2.0,2.0,2.0,2.0,,
37010,TQRMNORWVHJOLMCDEHIBB00796922,1,5.0,5.0,,,6.0,6.0,7.0,7.0,,,7.0,7.0
37011,TQRMNORWVHJOLMCDEHIBB00796922,1,5.0,5.0,,,6.0,6.0,7.0,7.0,,,7.0,7.0
37012,TQRMNOSXUHJKKMCDEIJAH00802340,1,,,12.0,12.0,,,,,12.0,12.0,,
37013,TQRMNOSXUHJKKMCDEIJAH00802340,1,,,12.0,12.0,,,,,12.0,12.0,,
37014,TQRMNOSXUHJKKMCDEIJAH00802340,1,,,12.0,12.0,,,,,12.0,12.0,,
37015,TQRMNOSXUHJKKMCDEIJAH00802340,1,,,12.0,12.0,,,,,12.0,12.0,,
37016,TQRMNOSXUHJKKMCDEIJAH00802340,1,,,12.0,12.0,,,,,12.0,12.0,,
37017,TQRMNORQRHLLKNCDEIJAH00795959,1,,,3.0,3.0,,,,,4.0,4.0,,
37018,TQRMNORQRHLLKNCDEIJAH00795959,1,,,3.0,3.0,,,,,4.0,4.0,,
37019,TQRMNORRUHLLKNCDEIJAH00718712,1,,,12.0,12.0,,,,,12.0,12.0,,
37020,TQRMNORRUHLLKNCDEIJAH00718712,1,,,12.0,12.0,,,,,12.0,12.0,,
37021,TQRMNORRUHLLKNCDEIJAH00718712,1,,,12.0,12.0,,,,,12.0,12.0,,
37022,TQRMNORRUHLLKNCDEIJAH00718712,1,,,12.0,12.0,,,,,12.0,12.0,,
